   timestep             momentum      temperature  total_potential   total_pressure
      25900      8.233305593e-09     0.4131379724      98557.29688   -0.05850360915
      26000      8.355476311e-09     0.4135921597       98567.9375   -0.05851256475
      26100      4.364812067e-09     0.4159529805      98578.90625   -0.05851059407
      26200      8.924160078e-09     0.4178472459      98590.04688   -0.05850932002
      26300      1.151901419e-08     0.4191228747      98601.21875   -0.05851063132
      26400      7.347168651e-09     0.4189718664      98612.38281   -0.05851997435
      26500      3.822071992e-09     0.4202739298      98623.29688   -0.05852229521
      26600      2.322492421e-09     0.4198884368        98633.625   -0.05853371322
      26700      1.117161297e-08      0.421751678      98643.54688   -0.05853507668
      26800      1.702124308e-08     0.4223745167      98653.28125   -0.05854338408
      26900      5.999114538e-09     0.4230260551      98662.64062   -0.05855190754
      27000      5.950092419e-09     0.4240674376      98671.40625   -0.05855964497
      27100      1.194755495e-08     0.4246696234      98679.51562   -0.05857126787
      27200      7.500560173e-09     0.4258412421       98687.4375   -0.05858054012
      27300      3.329289511e-09     0.4256233871      98694.94531   -0.05859716609
      27400      9.758892361e-09     0.4270399511      98701.97656   -0.05860572308
      27500      1.159317264e-08     0.4282685518        98708.875   -0.05861580372
      27600      7.475065011e-09     0.4296641648      98715.39062   -0.05862416327
      27700      7.661379975e-09     0.4324112236      98721.65625   -0.05862617865
      27800      1.108420289e-08     0.4340408742      98727.36719   -0.05863485485
      27900      9.929685518e-09     0.4357708991      98732.78125   -0.05864307657
      28000      4.860454705e-09     0.4364466667      98738.20312   -0.05865542591
      28100       3.61458774e-09     0.4381453693      98743.63281   -0.05866181478
      28200      9.491866848e-09      0.440982908      98748.78906   -0.05866191909
      28300      9.082343766e-09     0.4431985021      98753.92188    -0.0586652942
      28400      1.391061044e-08     0.4441790581      98759.32031   -0.05867441371
      28500      1.328936872e-08     0.4450729489       98764.9375   -0.05868283659
      28600      8.002242424e-09     0.4470197856      98770.77344   -0.05868526176
      28700      9.491590625e-09     0.4485943317      98776.59375   -0.05869049951
      28800      1.175703179e-08     0.4510209858      98782.52344   -0.05869101733
      28900      1.275278816e-08      0.451779753      98788.92969   -0.05869927257
      29000      5.496197275e-09     0.4520402253      98795.42188   -0.05870884657
      29100      1.107752556e-08     0.4543212652      98802.07031   -0.05870816484
      29200      8.297389442e-09     0.4546144009      98808.57812   -0.05871895701
      29300      8.594980727e-09     0.4549880028      98815.15625   -0.05872974917
      29400      5.784288604e-09      0.456462115      98821.55469    -0.0587352477
      29500      1.027308105e-08     0.4574569166      98827.79688   -0.05874429271
      29600      1.076960832e-08     0.4573769867       98833.8125   -0.05875902623
      29700      1.070568789e-08     0.4583070278      98839.67188   -0.05876933783
      29800      5.800752767e-09     0.4590882361        98845.375   -0.05878185481
      29900      9.537273193e-09     0.4599446356      98851.32812   -0.05879383534
      30000      8.112478689e-09     0.4611068368      98857.17188   -0.05880513787
      30100      1.252312831e-08     0.4625639319      98862.96875   -0.05881493166
      30200      4.279005594e-09     0.4637982547      98869.09375   -0.05882623792
      30300      7.984636063e-09     0.4654649794      98875.28125   -0.05883612856
      30400      1.425978713e-08     0.4664726555      98881.57031   -0.05884957314
      30500      5.827072602e-09     0.4680591226      98888.14062   -0.05885913596
      30600      1.295112284e-08     0.4688979685      98894.65625   -0.05887188762
      30700      1.225882418e-08     0.4701922834      98901.20312   -0.05888186023
      30800      5.733231667e-09     0.4703135788        98907.625   -0.05889848992
      30900      1.376974357e-08     0.4711587131      98914.03906   -0.05891163275
      31000      1.051216092e-08     0.4730816185      98920.48438   -0.05891865492
      31100      7.605347463e-09     0.4737284482        98927.125   -0.05893030763
      31200      1.022233409e-08     0.4744595289      98933.58594   -0.05894096568
      31300      1.088122481e-08     0.4761426747      98939.94531   -0.05894663185
      31400      6.965954036e-09     0.4765893221      98946.65625   -0.05895710364
      31500      7.043837957e-09     0.4769521952      98953.11719   -0.05896892771
      31600      1.086178258e-08     0.4773054123      98959.35156   -0.05898220092
      31700      5.214499499e-09     0.4777897894        98965.625   -0.05899551511
      31800       1.25955939e-08     0.4796971679      98971.64062   -0.05900232121
      31900      4.587378033e-09     0.4812425375        98977.375   -0.05901188031
      32000      9.732773698e-09     0.4832943678         98982.75   -0.05902026966
      32100      6.787945761e-09     0.4853737354      98987.61719   -0.05903045088
      32200      9.623379427e-09     0.4863768816      98992.61719    -0.0590468049
      32300      5.812351933e-09     0.4875232875      98997.28906   -0.05906410515
      32400      9.060825867e-09     0.4875620306      99001.96094   -0.05908633769
      32500      3.359740486e-09     0.4891334474      99006.65625   -0.05910056829
      32600      9.339411022e-09     0.4901993573         99011.75   -0.05911593139
      32700      7.259893575e-09      0.491343528      99016.92188   -0.05912994221
      32800       1.51746562e-08     0.4916794896       99022.3125   -0.05914765969
      32900      1.103190339e-08     0.4931188226        99027.875   -0.05915875733
      33000      1.313595011e-08     0.4957562089      99033.34375    -0.0591635704
      33100      7.942404068e-09     0.4963843226      99039.28906   -0.05917717516
      33200      9.299705006e-09     0.4971544147        99045.875   -0.05918760225
      33300      1.433650443e-08     0.4982501566      99052.83594   -0.05919516459
      33400      9.311253102e-09       0.49837479      99059.92188    -0.0592068471
      33500      1.476669631e-08     0.4982527196      99067.42188   -0.05921859667
      33600      1.802844807e-08     0.4990335405      99074.89062   -0.05922645703
      33700       6.52958887e-09     0.4991813004      99082.32812   -0.05923721567
      33800      9.540595869e-09     0.5009117126       99089.8125   -0.05924052373
